ticket,strategy,magic,direction,volume,entry_time,entry_price,exit_time,exit_price,pnl,commission,net_pnl,exit_reason,stop_loss,take_profit,entry_bid,entry_ask
26072100,,,,,,,2026-07-21 09:07:12,4026.53,5.79,1.0,4.79,,,,,
26072101,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-21 09:07:58,4027.82,,,,,,,4004.55,4074.37,4027.55,4027.96
26072102,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 11:09:38,4039.9,,,,,,,4068.7,2619.59,4040.19,4040.6
26072103,mfi_bb_m30_upgraded_SELL,661003,SELL,0.01,2026-07-21 11:10:33,4040.78,,,,,,,4242.78,40.41,4040.47,4040.88
26072104,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 11:15:15,4037.46,,,,,,,4065.91,2615.19,4037.47,4037.87
26072105,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 11:17:02,4038.39,,,,,,,4067.1,2611.43,4038.26,4038.67
26072106,mfi_bb_m30_upgraded_SELL,661003,SELL,0.01,2026-07-21 11:17:10,4038.22,,,,,,,4240.25,40.38,4038.07,4038.48
26072107,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 11:23:22,4038.67,,,,,,,4067.26,2611.59,4038.52,4038.93
26072108,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 11:28:29,4045.36,,,,,,,4075.09,2552.9,4045.43,4045.84
26072109,m30_bb_deepreturn_optimized_SELL,661102,SELL,0.01,2026-07-21 11:28:35,4045.44,,,,,,,4065.86,3020.6,4045.6,4046.01
26072110,mfi_bb_m30_upgraded_SELL,661003,SELL,0.01,2026-07-21 11:30:19,4047.92,,,,,,,4250.62,40.48,4047.68,4048.09
26072101,,,,,,,2026-07-21 13:30:04,4056.62,28.8,1.0,27.8,,,,,
26072109,,,,,,,2026-07-21 13:42:50,4065.71,-20.27,1.0,-21.27,,,,,
26072111,bakome_backup_SELL,777004,SELL,0.01,2026-07-21 14:00:09,4062.94,,,,,,,4091.36,2619.87,4062.35,4062.75
26072112,bakome_backup_SELL,777004,SELL,0.01,2026-07-21 14:01:28,4063.95,,,,,,,4092.94,2614.38,4063.8,4064.2
26072113,bakome_backup_SELL,777004,SELL,0.01,2026-07-21 14:03:26,4066.04,,,,,,,4094.42,2647.07,4066.24,4066.64
26072114,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 14:03:32,4066.12,,,,,,,4094.22,2645.99,4065.71,4066.11
26072102,,,,,,,2026-07-21 14:03:55,4066.75,-26.85,1.0,-27.85,,,,,
26072104,,,,,,,2026-07-21 14:04:02,4066.48,-29.02,1.0,-30.02,,,,,
26072105,,,,,,,2026-07-21 14:04:10,4066.22,-27.83,1.0,-28.83,,,,,
26072107,,,,,,,2026-07-21 14:04:17,4066.13,-27.46,1.0,-28.46,,,,,
26072108,,,,,,,2026-07-21 14:04:24,4065.22,-19.86,1.0,-20.86,,,,,
26072115,bakome_backup_SELL,777004,SELL,0.01,2026-07-21 14:04:55,4065.22,,,,,,,4094.05,2644.01,4065.47,4065.87
26072116,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 14:05:01,4065.23,,,,,,,4093.66,2643.62,4064.97,4065.37
26072117,bakome_backup_SELL,777004,SELL,0.01,2026-07-21 14:05:48,4065.6,,,,,,,4094.58,2644.54,4066.19,4066.59
26072118,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 14:05:54,4066.11,,,,,,,4093.94,2643.9,4065.7,4066.1
26072119,bakome_backup_SELL,777004,SELL,0.01,2026-07-21 14:06:40,4064.64,,,,,,,4093.5,2643.46,4064.97,4065.37
26072120,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 14:06:46,4064.72,,,,,,,4093.15,2643.11,4064.15,4064.55
26072121,bakome_backup_SELL,777004,SELL,0.01,2026-07-21 14:07:33,4064.99,,,,,,,4093.28,2643.24,4064.64,4065.04
26072122,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 14:07:39,4064.41,,,,,,,4093.11,2643.07,4064.7,4065.1
26072123,bakome_backup_SELL,777004,SELL,0.01,2026-07-21 14:08:45,4066.03,,,,,,,4094.44,2644.4,4066.13,4066.53
26072124,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 14:08:51,4066.04,,,,,,,4094.47,2644.43,4066.09,4066.49
26072125,bakome_backup_SELL,777004,SELL,0.01,2026-07-21 14:09:36,4066.68,,,,,,,4095.22,2639.71,4066.68,4067.08
26072126,bakome_backup_optimized_SELL,777006,SELL,0.01,2026-07-21 14:09:42,4066.83,,,,,,,4095.39,2639.88,4067.16,4067.56
